ID,X,Y,Z,R,G,B,PART
DDFFD7E29D8C4CA7,1.49,-9.38,30.00,0.05,0.05,0.04,BODY
E085286BF86B3534,-6.32,-9.18,30.20,0.42,0.09,0.32,BODY
93371FC057ED27A3,1.46,-9.44,30.40,0.03,0.03,0.03,BODY
4B71F64B53AE6EB1,-6.05,-9.12,30.60,0.42,0.09,0.32,BODY
9102B6F6400D61FC,2.01,-9.31,30.00,0.03,0.03,0.03,BODY
D51C70F871FE62B3,-5.89,-9.06,30.20,0.41,0.09,0.31,BODY
62A10A1A688006DA,-3.98,-9.14,30.40,0.36,0.25,0.35,BODY
6C99EB29BA0FABB4,-6.83,-9.16,30.60,0.45,0.33,0.38,BODY
739DC8EC2A61CC23,-4.73,-9.30,30.00,0.03,0.04,0.04,BODY
CA1265BFD86F08A7,2.00,-9.31,30.20,0.05,0.05,0.05,BODY
3337B083710CDD5D,-6.13,-9.03,30.40,0.39,0.06,0.29,BODY
29B239BD39BF1012,-3.56,-9.04,30.60,0.18,0.13,0.17,BODY
5141CE063F26895F,2.16,-9.15,30.00,0.06,0.06,0.06,BODY
218481149A8194D0,-6.19,-8.75,30.20,0.42,0.11,0.32,BODY
D990AF560A5C0068,-3.35,-9.17,30.40,0.16,0.04,0.07,BODY
7A6B698FEFFEFB57,1.33,-8.99,30.60,0.08,0.11,0.19,BODY
D07A776E9BB14E2A,-6.71,-9.04,30.00,0.30,0.03,0.21,BODY
C99186AC6457705D,-4.14,-8.70,30.20,0.16,0.06,0.09,BODY
B46D349D66C58B83,-1.78,-8.91,30.40,0.16,0.05,0.09,BODY
6D677BB386CE9918,2.51,-9.13,30.60,0.03,0.05,0.09,BODY
61F167D8313C2DE0,-5.49,-9.05,30.00,0.44,0.11,0.33,BODY
6FA332E96407C422,-2.98,-8.76,30.20,0.16,0.05,0.06,BODY
637E787D2D000898,-1.11,-9.07,30.40,0.17,0.08,0.17,BODY
4ACA73F574C33D51,2.39,-9.19,30.60,0.07,0.08,0.17,BODY
5AFBCC3B56801B56,-5.24,-8.91,30.00,0.44,0.11,0.34,BODY
55D7BAC7DFED5515,-2.71,-9.09,30.20,0.16,0.05,0.06,BODY
13D65BB024322067,-1.00,-9.06,30.40,0.19,0.13,0.26,BODY
2F7A0E77CA87F3B4,1.84,-8.85,30.60,0.19,0.19,0.52,BODY
50EE937180656816,-6.40,-8.64,30.00,0.29,0.02,0.22,BODY
CD6A935A34FA24F4,-4.00,-8.81,30.20,0.09,0.03,0.03,BODY
CDAC65174F8950D4,-1.60,-8.98,30.40,0.19,0.16,0.35,BODY
296B27639894BB85,0.64,-8.87,30.60,0.17,0.25,0.60,BODY
3D0B25553A11B70B,3.13,-8.87,30.00,0.19,0.24,0.48,BODY
A58C3B9541DA5288,-5.18,-8.89,30.20,0.40,0.09,0.31,BODY
43A1A6C043243965,-3.29,-8.67,30.40,0.14,0.07,0.18,BODY
F0099D14E35E0562,-0.53,-8.47,30.60,0.22,0.29,0.58,BODY
244A45901746DAC6,1.46,-8.99,30.00,0.16,0.20,0.56,BODY
55AE571773B4EF03,3.85,-9.02,30.20,0.21,0.29,0.56,BODY
FB67734604C96D92,-5.16,-8.88,30.40,0.40,0.09,0.31,BODY
1AF8E0D621495CC4,-3.17,-8.92,30.60,0.15,0.13,0.36,BODY
E5ED6741AF527ABE,-0.85,-8.82,30.00,0.13,0.20,0.52,BODY
0242507463A67E35,1.74,-8.90,30.20,0.17,0.21,0.57,BODY
73B5055687039122,4.16,-8.46,30.40,0.19,0.27,0.55,BODY
7551D549CB41C3A4,-5.56,-8.45,30.60,0.29,0.03,0.22,BODY
1ADC0FF2BD654984,-3.66,-8.81,30.00,0.09,0.06,0.16,BODY
44AE32ABAB50E4F4,-1.18,-8.56,30.20,0.20,0.28,0.59,BODY
236F76383A0208A0,1.48,-8.49,30.40,0.17,0.22,0.58,BODY
5B78321CC942737C,3.29,-8.72,30.60,0.21,0.30,0.60,BODY
F515894E591F258A,-7.01,-8.85,30.00,0.41,0.11,0.31,BODY
5E19981BB5C8530C,-4.62,-8.81,30.20,0.55,0.14,0.42,BODY
1821DA8711F0BE7D,-2.33,-8.60,30.40,0.18,0.28,0.61,BODY
792CCE66B9B852DA,0.13,-8.75,30.60,0.14,0.18,0.48,BODY
5BBA0D20A6AF87C5,2.36,-8.47,30.00,0.16,0.25,0.61,BODY
FFF72A8CC8030A3B,4.88,-8.49,30.20,0.22,0.30,0.61,BODY
03EC8C2CE41BE191,-5.55,-8.37,30.40,0.29,0.02,0.22,BODY
534A5A778C1B012F,-2.99,-8.41,30.60,0.14,0.13,0.43,BODY
30FDF7D2D6E0B262,-0.88,-8.85,30.00,0.15,0.20,0.52,BODY
B18A364C9FF402B3,1.34,-8.50,30.20,0.17,0.21,0.58,BODY
3B4D94D757F0547C,4.01,-8.81,30.40,0.13,0.20,0.53,BODY
7D5348E70C842770,-6.48,-8.36,30.60,0.42,0.11,0.32,BODY
5EBE770B158F6E91,-4.31,-8.77,30.00,0.53,0.13,0.40,BODY
FD60FC9C20D13E17,-2.14,-8.73,30.20,0.18,0.28,0.61,BODY
018F571DB7AA6B3D,0.01,-8.57,30.40,0.15,0.18,0.48,BODY
015FE51F2A754F72,2.64,-8.60,30.60,0.16,0.24,0.60,BODY
9D07C5FA96EA164D,4.94,-8.67,30.00,0.13,0.20,0.52,BODY
3CA9B6A5EEBD52A4,-6.07,-8.47,30.20,0.33,0.06,0.27,BODY
377504D3045869FD,-3.30,-8.48,30.40,0.06,0.08,0.26,BODY
E05AAF8D03C2F323,-1.06,-8.70,30.60,0.15,0.22,0.54,BODY
1C1EA50401DA416F,1.43,-8.33,30.00,0.17,0.22,0.58,BODY
DC6ABD3EA2A693F7,3.78,-8.26,30.20,0.13,0.20,0.48,BODY
99CCA1BDEF1A9BD1,5.89,-8.19,30.40,0.11,0.11,0.28,BODY
42D8E93C9C240B13,-4.81,-8.62,30.60,0.32,0.03,0.22,BODY
4D9ED42ACE691EE2,-2.76,-8.10,30.00,0.14,0.20,0.57,BODY
D4319FAA68DE440C,-0.21,-8.38,30.20,0.11,0.24,0.53,BODY
52D082612337FC81,1.82,-8.48,30.40,0.17,0.21,0.58,BODY
68D73B6F4EEE1107,4.14,-8.50,30.60,0.13,0.22,0.52,BODY
EA715321D26EA736,6.39,-8.25,30.00,0.52,0.51,0.65,BODY
FF0CB64397415BC8,-5.14,-8.07,30.20,0.32,0.03,0.26,BODY
ABD19878EF89189A,-2.40,-8.36,30.40,0.15,0.22,0.57,BODY
D0DC32F89DF87EF9,-0.55,-8.23,30.60,0.12,0.20,0.50,BODY
C33AA00B4E403071,1.97,-8.53,30.00,0.16,0.22,0.58,BODY
A22A7C7B9EAA9D3D,4.69,-8.51,30.20,0.16,0.38,0.65,BODY
C5AEB4FE38BD906E,6.51,-8.51,30.40,0.13,0.14,0.45,BODY
F479B3688DCA245C,-5.04,-8.11,30.60,0.33,0.04,0.27,BODY
90A1111562C6DE53,-2.43,-8.50,30.00,0.14,0.21,0.56,BODY
97C9ABB3805D9A8E,-0.15,-8.37,30.20,0.12,0.20,0.50,BODY
2B6EFC70FD19E0E3,1.97,-8.07,30.40,0.17,0.21,0.59,BODY
AC52BDE0B2D4382F,4.56,-8.23,30.60,0.13,0.25,0.55,BODY
CB28E973B98E8B40,6.94,-8.19,30.00,0.19,0.19,0.47,BODY
7AEB816F406C23BC,-5.26,-8.17,30.20,0.42,0.11,0.32,BODY
D1A986C195A9B973,-2.80,-8.28,30.40,0.16,0.19,0.55,BODY
