ID,X,Y,Z,R,G,B,PART
A35FAE0E96239BA8,11.25,-6.56,30.00,1.00,0.80,0.29,BODY
115D0C5416681010,-23.82,-6.71,30.20,0.72,0.91,1.00,BODY
676A14F6A6AF2733,-13.42,-6.83,30.40,1.00,0.80,0.29,BODY
F739D842CFAD51E5,-9.07,-6.41,30.60,1.00,0.80,0.29,BODY
3DE2AC251C9C74B6,-4.94,-6.59,30.00,1.00,0.82,0.27,BODY
8749C560C7888D23,-2.13,-6.60,30.20,1.00,0.80,0.29,BODY
24F54263CA9E6B1D,0.48,-6.47,30.40,1.00,0.80,0.29,BODY
D5B5FA4A044C560E,5.36,-6.57,30.60,1.00,0.80,0.29,BODY
F8F5FC8856CF53F0,10.90,-6.53,30.00,1.00,0.81,0.28,BODY
D764E11D95D54B94,-14.47,-6.65,30.20,1.00,0.80,0.29,BODY
7558EAAAB4A894DA,-12.35,-6.56,30.40,1.00,0.80,0.29,BODY
9025DAB6C78CDECB,-8.50,-6.55,30.60,1.00,0.80,0.29,BODY
79B284E24EF0734F,-3.82,-6.81,30.00,1.00,0.80,0.29,BODY
2583C24377560A77,-1.88,-6.38,30.20,1.00,0.80,0.29,BODY
5E66B3451050DBC8,1.01,-6.63,30.40,1.00,0.80,0.29,BODY
0F6172FB6F42ACC9,5.82,-6.45,30.60,1.00,0.80,0.29,BODY
BC3A9FA8F25CCC36,16.69,-6.34,30.00,0.71,0.91,1.00,BODY
1F2A282922F8529C,-14.17,-6.57,30.20,1.00,0.80,0.29,BODY
627C98C37BD9EA06,-12.29,-6.77,30.40,1.00,0.80,0.29,BODY
7BD67AE070201825,-8.71,-6.47,30.60,1.00,0.80,0.29,BODY
E33F56BF959FE63C,-3.74,-6.50,30.00,1.00,0.80,0.29,BODY
8573D3A9726A8FFF,-1.56,-6.65,30.20,1.00,0.80,0.29,BODY
46920D9381FF521F,0.83,-6.25,30.40,1.00,0.82,0.29,BODY
CC9275D41D7012CD,6.15,-6.53,30.60,1.00,0.80,0.29,BODY
7706F23FD596507B,16.01,-6.46,30.00,0.72,0.91,1.00,BODY
1AAB9EE62C634F37,-14.63,-6.48,30.20,1.00,0.80,0.29,BODY
403C71724EB4B287,-12.38,-6.35,30.40,1.00,0.80,0.29,BODY
78E268EC88505381,-8.60,-6.54,30.60,1.00,0.80,0.29,BODY
9302B30E7A893083,-3.89,-6.48,30.00,1.00,0.80,0.29,BODY
B3F12A06C3E59337,-1.88,-6.42,30.20,1.00,0.80,0.29,BODY
91EA3AC2D956C314,1.04,-6.39,30.40,1.00,0.80,0.29,BODY
941B1E3610C0C0F6,6.02,-6.38,30.60,1.00,0.80,0.29,BODY
C2A76FA5467B2C62,15.86,-6.74,30.00,0.72,0.91,1.00,BODY
630BF463ED5B305D,-22.93,-6.32,30.20,0.72,0.91,1.00,BODY
89D9ABEA59BEA702,-12.67,-6.63,30.40,1.00,0.80,0.29,BODY
97B336246D047EA0,-9.44,-6.68,30.60,1.00,0.80,0.29,BODY
EFB120AF5DA5FAB7,-5.42,-6.52,30.00,1.00,0.80,0.29,BODY
AC9283A56C02A624,-2.43,-6.46,30.20,1.00,0.80,0.29,BODY
B716CD9BB339664A,-0.10,-6.68,30.40,1.00,0.80,0.29,BODY
143DEC82F839EE2C,5.10,-6.30,30.60,1.00,0.80,0.29,BODY
3CE9029A06DF0E02,10.99,-6.68,30.00,1.00,0.80,0.29,BODY
D992EB8B14386CCE,-24.88,-6.13,30.20,0.72,0.91,1.00,BODY
550B5040C459133C,-13.91,-6.21,30.40,1.00,0.80,0.29,BODY
1404772CAB163ED0,-11.53,-6.29,30.60,1.00,0.80,0.29,BODY
66A49249FAD9C5D1,-8.22,-6.13,30.00,1.00,0.79,0.28,BODY
83CB16C1276A8BAF,-3.51,-6.11,30.20,1.00,0.80,0.29,BODY
7A4E21DD9E21CD6B,-1.65,-6.59,30.40,1.00,0.80,0.29,BODY
CFB320DDA60C74B8,1.30,-6.54,30.60,1.00,0.80,0.29,BODY
D32910F5E551AB45,6.19,-6.28,30.00,1.00,0.80,0.29,BODY
34CFD27F36820A79,10.87,-6.17,30.20,1.00,0.80,0.29,BODY
A4D1D5F06A93F092,-24.82,-6.57,30.40,0.72,0.91,1.00,BODY
5E214C32BB282F4D,-13.70,-6.60,30.60,1.00,0.80,0.29,BODY
DD899A305D1D9B5F,-11.21,-6.34,30.00,1.00,0.80,0.29,BODY
D4D87E610388D4AF,-6.17,-6.40,30.20,1.00,0.80,0.29,BODY
F6890EC72C15058E,-3.41,-6.49,30.40,1.00,0.80,0.29,BODY
9C040E4E1968AF0F,-1.34,-6.25,30.60,1.00,0.80,0.29,BODY
46025F5B5C184AD8,3.44,-6.49,30.00,1.00,0.80,0.29,BODY
82843677C97B3A7C,7.47,-6.57,30.20,1.00,0.84,0.23,BODY
184CC713CFAF2ED0,11.40,-6.61,30.40,1.00,0.80,0.29,BODY
6B0126B9D8D98587,-23.54,-6.35,30.60,0.72,0.91,1.00,BODY
FDFDAEC41BC6A244,-13.57,-6.29,30.00,1.00,0.80,0.29,BODY
D8AA54F007006B79,-11.23,-6.45,30.20,1.00,0.80,0.29,BODY
0CD682D070F04988,-5.99,-6.45,30.40,1.00,0.80,0.29,BODY
97133B72EACC4D8F,-2.81,-6.11,30.60,1.00,0.80,0.29,BODY
9AA982A8F95E137A,-0.74,-6.28,30.00,1.00,0.80,0.29,BODY
573BC9EEDF720E2A,4.00,-6.15,30.20,1.00,0.80,0.29,BODY
185BF2E402442C89,7.79,-6.46,30.40,1.00,0.80,0.29,BODY
FBFEFA2B3595EDA0,15.35,-6.49,30.60,0.71,0.91,1.00,BODY
76DCC520A853894C,-23.67,-6.23,30.00,0.72,0.91,1.00,BODY
F08F59F85B545AC4,-13.36,-6.12,30.20,1.00,0.80,0.29,BODY
B8232F9E46F6DA3C,-10.70,-6.00,30.40,1.00,0.87,0.23,BODY
5719DCB1ABC0B206,-5.68,-6.45,30.60,1.00,0.80,0.29,BODY
078D96E2979FA3DE,-3.11,-5.95,30.00,1.00,0.80,0.29,BODY
BDB8D2CA6737F64F,-0.47,-6.52,30.20,1.00,0.80,0.29,BODY
723F2F0A76B36AFE,4.20,-6.52,30.40,1.00,0.80,0.29,BODY
280DD2D1A1BA951C,8.19,-6.49,30.60,1.00,0.80,0.29,BODY
32C840BD4117D595,15.70,-6.28,30.00,0.72,0.91,1.00,BODY
7B3DE2F060C6D088,-23.40,-6.07,30.20,0.72,0.91,1.00,BODY
7164E093F985ED0B,-12.71,-5.94,30.40,1.00,0.80,0.29,BODY
4A09CBEE140052D7,-9.73,-6.08,30.60,1.00,0.80,0.29,BODY
31E358135B0E59E7,-5.76,-6.08,30.00,1.00,0.80,0.29,BODY
20E59CB789181B9B,-2.46,-6.08,30.20,1.00,0.80,0.29,BODY
E62D0FA7C678070E,-0.23,-6.03,30.40,1.00,0.80,0.29,BODY
A748D6E4F4DED463,4.49,-5.97,30.60,1.00,0.80,0.29,BODY
712C466FCEDA27E2,8.28,-5.91,30.00,1.00,0.80,0.29,BODY
81CEF8AB53BD0FB4,15.83,-6.09,30.20,0.72,0.91,1.00,BODY
D40F8666E8C13BD0,-23.60,-6.14,30.40,0.72,0.92,1.00,BODY
5A6958C00D1DBE88,-12.95,-6.30,30.60,1.00,0.80,0.29,BODY
FFD82D749D5A0F7D,-9.33,-6.44,30.00,1.00,0.80,0.29,BODY
BEC9EEB32934CFAB,-5.47,-5.94,30.20,1.00,0.80,0.29,BODY
243001C85049A847,-2.77,-6.13,30.40,1.00,0.80,0.29,BODY
DB28719C856DACEC,0.30,-5.85,30.60,1.00,0.80,0.29,BODY
7777172D8148DBAF,3.95,-6.17,30.00,1.00,0.80,0.29,BODY
93EC818E049889BC,8.19,-6.42,30.20,1.00,0.80,0.29,BODY
A6DB9EA66B07956F,14.55,-6.24,30.40,0.72,0.91,1.00,BODY
4D15F28CDD5D9DD4,-24.58,-5.90,30.60,0.73,0.92,1.00,BODY
0F67249524A50393,-13.32,-6.14,30.00,1.00,0.80,0.29,BODY
19A9D6228293A7FC,-10.87,-6.31,30.20,1.00,0.80,0.29,BODY
837FC171C7E41E03,-6.24,-6.36,30.40,1.00,0.80,0.29,BODY
B606DC0A0D914740,-3.49,-6.31,30.60,1.00,0.80,0.29,BODY
193C23BC280360EA,-0.82,-6.28,30.00,1.00,0.80,0.29,BODY
A4EB4CB23470EA28,1.59,-6.03,30.20,1.00,0.80,0.27,BODY
BA0FC4BA3FC419F2,5.03,-6.23,30.40,1.00,0.80,0.29,BODY
31F331C04EDFAE8F,8.72,-5.96,30.60,1.00,0.80,0.29,BODY
E0E09057A5CCB64D,15.54,-6.30,30.00,0.72,0.91,1.00,BODY
523C36903C0A34E3,-23.75,-6.31,30.20,0.72,0.91,1.00,BODY
63215BA084A61B88,-12.55,-6.04,30.40,1.00,0.80,0.28,BODY
0AC8550CFDE8B3E5,-9.92,-5.95,30.60,1.00,0.80,0.29,BODY
A6122707AE4AB4F6,-5.96,-6.31,30.00,1.00,0.80,0.29,BODY
953C884AC23212EB,-2.58,-5.97,30.20,1.00,0.80,0.29,BODY
B9ADB91339C4BC50,0.17,-6.24,30.40,1.00,0.80,0.29,BODY
CEC10570A1C35280,2.40,-6.07,30.60,1.00,0.80,0.29,BODY
