ID,X,Y,Z,R,G,B,PART
F518BCE6976099E1,1.42,-5.76,30.15,0.07,0.07,0.10,BODY
8EF5BEB71D0EC5C3,-3.44,-5.42,29.85,0.32,0.09,0.27,BODY
6B89F1D3ECB4F2DE,1.48,-5.47,30.15,0.06,0.06,0.07,BODY
7DDFB37C0DA67D6F,-3.36,-5.63,29.85,0.29,0.09,0.23,BODY
7C64A76A89F557E0,1.66,-5.52,30.00,0.05,0.05,0.04,BODY
7D7E7ECD7A17A7DE,-3.00,-5.66,30.15,0.40,0.12,0.30,BODY
B1F1CE6BA972A83D,1.02,-5.68,29.85,0.04,0.05,0.05,BODY
C491954611A41ED1,-3.54,-5.39,30.15,0.38,0.07,0.29,BODY
86F2D7C3D9D73977,-1.96,-5.60,29.85,0.27,0.12,0.22,BODY
C73E9A97548134AF,1.43,-5.36,30.00,0.04,0.04,0.04,BODY
468C64121CF0F9C6,-3.02,-5.47,30.15,0.42,0.15,0.33,BODY
AB15E90D60667E39,-1.59,-5.19,29.85,0.24,0.11,0.18,BODY
56707C1D1E8785A9,1.68,-5.59,30.15,0.04,0.03,0.03,BODY
CF386928295D691D,-2.78,-5.28,29.85,0.42,0.13,0.32,BODY
8D98B6028F20D980,-1.45,-5.40,30.00,0.21,0.05,0.10,BODY
6E17FEFDBD0BC8ED,1.02,-5.25,30.15,0.07,0.08,0.08,BODY
F5CD7580ADB65093,-3.32,-5.54,30.00,0.44,0.10,0.33,BODY
D0CAE36B41E7D8AD,-2.10,-5.45,30.15,0.16,0.06,0.08,BODY
13D0EFA58235805D,-0.41,-5.13,29.85,0.40,0.24,0.32,BODY
05FA2C098C30C678,-3.94,-5.10,30.00,0.77,0.62,0.70,BODY
BCD94BB0F1CE1F37,-2.80,-5.57,30.15,0.31,0.08,0.24,BODY
A0C0852677EC2AE9,-1.59,-5.35,30.00,0.18,0.05,0.10,BODY
654CCF989D50C313,0.45,-5.55,30.15,0.25,0.29,0.43,BODY
0E1F890D9C59B4D9,-3.92,-5.54,29.85,0.34,0.08,0.26,BODY
902B671B1E7C04E6,-2.46,-5.37,30.00,0.14,0.02,0.09,BODY
DAB2E73F73A41CFE,-1.33,-5.44,29.85,0.16,0.05,0.11,BODY
7E6774D24E2B8456,0.03,-5.18,30.00,0.15,0.21,0.49,BODY
3FA4E5D4BBA9957F,1.65,-5.28,30.15,0.15,0.17,0.38,BODY
118056D387C23FF1,-3.05,-5.24,29.85,0.44,0.09,0.33,BODY
64B6C787DA9E178D,-1.79,-5.33,30.00,0.14,0.05,0.09,BODY
2464EBDEF12F85A3,-0.46,-5.32,29.85,0.24,0.27,0.56,BODY
8B4D89A237DD934B,1.28,-5.30,30.00,0.19,0.21,0.56,BODY
BD8171B8EDB22BA4,-4.26,-5.48,30.15,0.35,0.11,0.26,BODY
25B4445F34770E17,-2.90,-5.46,29.85,0.51,0.15,0.40,BODY
7619250FB2FCE5A3,-1.06,-5.17,30.00,0.17,0.16,0.38,BODY
CA0A1576C27505B0,0.27,-5.16,29.85,0.18,0.27,0.59,BODY
74979D5C5F54E7B0,1.70,-5.21,30.00,0.17,0.24,0.60,BODY
36E3621661B2A3FE,-4.02,-5.05,30.15,0.35,0.06,0.26,BODY
FBCF427CBF62EA9D,-2.70,-5.31,29.85,0.52,0.16,0.40,BODY
836261058A94F9B0,-1.34,-5.45,30.15,0.21,0.28,0.58,BODY
CC18AF6DDDB710CB,0.14,-5.32,29.85,0.18,0.24,0.57,BODY
B796AC3D7A8458BB,1.70,-5.05,30.00,0.16,0.25,0.62,BODY
42A173AA38081ABB,2.87,-5.22,30.15,0.20,0.25,0.47,BODY
67D62D25F47B82A9,-2.84,-4.98,29.85,0.48,0.11,0.37,BODY
2108128A742B20C4,-1.74,-5.37,30.15,0.18,0.24,0.55,BODY
B68DF4A6099AE8B4,0.02,-5.24,29.85,0.15,0.21,0.51,BODY
B887466686A19D89,1.02,-5.12,30.00,0.16,0.22,0.57,BODY
E39C09D016F84AA9,2.58,-5.18,30.15,0.18,0.27,0.60,BODY
C31BB280D92113B5,-3.45,-4.92,30.00,0.31,0.04,0.25,BODY
2969088AD592FDDC,-2.33,-4.92,30.15,0.08,0.07,0.22,BODY
036645C9569A6E48,-0.78,-5.09,29.85,0.18,0.28,0.59,BODY
28127162150F49A9,0.54,-5.11,30.00,0.18,0.22,0.58,BODY
A104C53C5C8CCE62,2.11,-5.25,30.15,0.20,0.27,0.61,BODY
9154826F6AABF544,-4.39,-5.09,30.00,0.75,0.59,0.69,BODY
1377AFB44ACAE681,-2.72,-5.10,30.15,0.49,0.11,0.38,BODY
5240E9671175774C,-1.55,-5.38,29.85,0.18,0.28,0.62,BODY
BD1ABFC31429999D,-0.07,-5.05,30.00,0.14,0.20,0.50,BODY
4AFF9C4D51407A0A,1.45,-4.90,30.15,0.17,0.24,0.60,BODY
D37E1C9CF44857BB,2.63,-5.34,30.00,0.14,0.21,0.52,BODY
EB83DACBA09C10A7,-3.44,-5.22,30.15,0.39,0.11,0.32,BODY
A1DD3539B8C814E1,-2.25,-4.86,29.85,0.07,0.08,0.25,BODY
A3ADF063FFE82837,-0.84,-5.11,30.00,0.15,0.21,0.53,BODY
15A14860768F639A,0.50,-4.95,29.85,0.18,0.23,0.58,BODY
63D23D6C947085D0,1.89,-5.08,30.00,0.13,0.20,0.50,BODY
7C9E41A6E316D3AF,3.62,-5.07,30.15,0.18,0.24,0.51,BODY
904A969E3CE5374A,-3.02,-4.94,29.85,0.35,0.05,0.27,BODY
6E54B85B6725D107,-1.32,-5.09,30.00,0.15,0.22,0.58,BODY
127428B6C80E6BD4,-0.31,-4.91,29.85,0.16,0.21,0.52,BODY
C1708F7D188CD5B2,1.15,-5.29,30.00,0.16,0.22,0.57,BODY
98C89BFCE6F12A27,2.73,-5.02,30.15,0.11,0.24,0.55,BODY
6FFFC96E5DC96817,-3.72,-5.15,29.85,0.41,0.09,0.31,BODY
2FE60673BA966638,-2.32,-4.87,30.15,0.55,0.11,0.40,BODY
C7F95AF3DDADBAF4,-1.33,-4.96,29.85,0.18,0.28,0.61,BODY
2D9143EE3C40AEF6,0.12,-5.28,30.00,0.17,0.18,0.48,BODY
B61A62663CF2BD97,1.68,-5.28,30.15,0.16,0.24,0.56,BODY
89A7BD6AFD208393,2.97,-5.08,29.85,0.15,0.23,0.55,BODY
B1CE7886E50749C9,-3.89,-4.91,30.15,0.41,0.09,0.32,BODY
BEECC220BD3A1080,-2.52,-5.17,29.85,0.56,0.13,0.43,BODY
325B966F0A349793,-0.98,-5.06,30.00,0.20,0.29,0.62,BODY
DE5AC343C85109FB,0.47,-5.15,30.15,0.16,0.18,0.47,BODY
55C8A21260E0B509,1.54,-5.21,30.00,0.13,0.20,0.49,BODY
993DFE8ACF52768B,3.07,-5.23,30.15,0.15,0.23,0.55,BODY
D7969BFE4DB591B9,-3.83,-4.95,29.85,0.43,0.10,0.33,BODY
084D2C4A6833CF80,-2.35,-4.87,30.00,0.53,0.11,0.39,BODY
D989BE9527C79E5A,-1.12,-4.88,30.15,0.20,0.29,0.61,BODY
