ID,X,Y,Z,R,G,B,PART
49B5356321DF4E49,-0.62,-6.06,30.00,0.60,0.30,0.29,BODY
942B012ED88315F2,1.57,-5.52,30.00,0.98,1.00,1.00,BODY
83F36F464022BB28,-1.26,-5.68,30.00,0.46,0.12,0.08,BODY
9C223FAD41235F23,1.40,-5.61,30.00,0.38,0.31,0.29,BODY
01FCE74A7EC981E8,-1.15,-5.57,30.00,0.89,0.44,0.44,BODY
BA349119F7918318,1.24,-5.72,30.00,0.53,0.15,0.15,BODY
8AC669B817D6CBA3,-1.73,-5.88,30.00,0.98,0.82,0.77,BODY
853517BC9EF1471A,1.14,-5.88,30.00,0.70,0.18,0.15,BODY
50BF0C445DE4F83B,-1.86,-5.54,30.00,1.00,0.98,1.00,BODY
813DB00520755F46,-0.66,-5.78,30.00,0.27,0.23,0.20,BODY
9B81FCD6B4C5D318,2.11,-5.48,30.00,0.52,0.48,0.46,BODY
5D85416884CDCDA8,-0.70,-5.88,30.00,0.94,0.32,0.25,BODY
571161035E19E4FD,1.43,-5.55,30.00,0.73,0.16,0.13,BODY
91C39C7509DFD3E8,-1.53,-5.70,30.00,0.92,0.28,0.22,BODY
82EE0241BF049D12,1.29,-5.67,30.00,0.73,0.16,0.11,BODY
613BCC49901F5514,-1.51,-5.56,30.00,0.73,0.22,0.20,BODY
B3F4A3AE59D13F03,-0.46,-5.41,30.00,0.24,0.38,0.37,BODY
474D47985FB6672D,1.93,-5.69,30.00,0.68,0.18,0.16,BODY
AF4C873C8A3F1808,-0.76,-5.63,30.00,0.97,0.31,0.25,BODY
C1683EF9773D0A15,1.02,-5.59,30.00,0.75,0.18,0.18,BODY
28093AD982CE7ECD,-1.61,-5.50,30.00,0.92,0.29,0.22,BODY
CFDED1F4F2FF5BA6,0.66,-5.36,30.00,0.54,0.28,0.25,BODY
932975B7A250D4A0,1.73,-5.68,30.00,0.73,0.16,0.15,BODY
EA08F5432D8E7DBD,-0.85,-5.32,30.00,0.95,0.28,0.24,BODY
4D8453D16A6C9BD4,1.22,-5.22,30.00,0.73,0.16,0.16,BODY
1FB0982B1EBB999F,-1.46,-5.55,30.00,0.91,0.29,0.22,BODY
2E296045B1EDF83D,-0.47,-5.45,30.00,0.40,0.16,0.16,BODY
D4466F0ED86444F8,1.05,-5.49,30.00,0.72,0.19,0.16,BODY
965C079B9525791C,-1.49,-5.24,30.00,0.97,0.26,0.21,BODY
2C35CBEE966A664A,-0.10,-5.61,30.00,0.43,0.27,0.26,BODY
4931717A1271685D,1.03,-5.31,30.00,0.73,0.21,0.18,BODY
87B63275620561A2,-1.49,-5.63,30.00,0.96,0.26,0.23,BODY
B998FAB602F7A3CA,-0.54,-5.61,30.00,0.24,0.01,0.01,BODY
8AAFFEE773040E60,0.27,-5.43,30.00,0.71,0.18,0.16,BODY
423A16535047D63C,1.78,-5.27,30.00,0.73,0.17,0.14,BODY
A4F14331BF814E6C,-1.08,-5.44,30.00,0.98,0.25,0.23,BODY
7E07F8E17FB0227D,-0.36,-5.26,30.00,0.69,0.19,0.17,BODY
8E75E9CBBA3A4A6D,0.61,-5.25,30.00,0.73,0.16,0.15,BODY
538490F7B0E3C360,1.69,-5.31,30.00,0.72,0.16,0.15,BODY
A35F5B487DB0B029,-0.87,-5.12,30.00,0.92,0.27,0.23,BODY
2543A4BF74AB2C15,0.14,-5.55,30.00,0.69,0.18,0.14,BODY
DBB67EF2C29FB0A2,0.86,-5.11,30.00,0.75,0.15,0.15,BODY
5AD48307DCF3D7F4,3.14,-5.25,30.00,0.53,0.78,0.76,BODY
02848F7B0B07D3F5,-0.89,-5.51,30.00,0.59,0.14,0.13,BODY
C58B43AC33771884,0.08,-5.44,30.00,0.73,0.16,0.15,BODY
12D2CCF0F1FE2384,1.49,-5.60,30.00,0.73,0.20,0.17,BODY
DB7C2FD6E15B0963,-1.96,-5.22,30.00,0.95,0.29,0.20,BODY
56DA0662FDE64D41,-0.90,-5.20,30.00,0.69,0.20,0.20,BODY
27911521E4DCC7CD,0.33,-5.21,30.00,0.74,0.15,0.13,BODY
6DE635B6C1CEB86F,1.63,-5.19,30.00,0.75,0.20,0.19,BODY
329755EE8CC9BB6B,-1.56,-5.14,30.00,0.92,0.29,0.23,BODY
01792484718B1C18,-0.47,-5.28,30.00,0.76,0.20,0.18,BODY
A632C9F477E8B201,0.45,-5.48,30.00,0.72,0.16,0.14,BODY
728352A9397FDBBF,1.38,-5.17,30.00,0.72,0.16,0.15,BODY
7FBE9BB1DDF98F64,-1.19,-5.50,30.00,0.94,0.28,0.24,BODY
26EA1CF89457BC24,-0.59,-5.46,30.00,0.72,0.16,0.13,BODY
D7E398690D5CF62C,0.64,-5.28,30.00,0.73,0.16,0.14,BODY
FEC5350B5271EDA4,1.88,-5.44,30.00,0.72,0.17,0.12,BODY
E01FEBF706E5251B,-1.16,-5.03,30.00,0.91,0.27,0.22,BODY
7E26533F8776FB88,-0.45,-5.20,30.00,0.75,0.15,0.15,BODY
FB3F189C6977B86C,0.71,-5.46,30.00,0.73,0.16,0.15,BODY
A9C82486E7E0FBE8,2.10,-5.06,30.00,0.73,0.16,0.14,BODY
BC5662762F6C7B2D,-1.41,-5.38,30.00,0.89,0.30,0.26,BODY
96A52771D8AB81F8,-0.27,-5.12,30.00,0.72,0.16,0.15,BODY
1B56CC82DB4ECF08,0.49,-5.30,30.00,0.73,0.16,0.15,BODY
3E01921C437C85B0,1.63,-5.40,30.00,0.73,0.16,0.13,BODY
C1B0CB30D4FB0DE4,-1.53,-4.94,30.00,0.73,0.22,0.20,BODY
DBD90A627B2CB0FE,-0.45,-5.18,30.00,0.74,0.15,0.15,BODY
C4359C97ED527994,0.57,-4.89,30.00,0.74,0.16,0.15,BODY
CD7F09DF8A5A872D,1.96,-5.20,30.00,0.73,0.15,0.13,BODY
D9C431F4E83867F7,-1.53,-4.91,30.00,0.93,0.28,0.20,BODY
0DCEBF89F58ABF40,-0.35,-5.36,30.00,0.73,0.16,0.15,BODY
F97B81E55B224ED9,0.57,-4.98,30.00,0.75,0.15,0.14,BODY
DAA0BF26854F3EC4,1.54,-5.06,30.00,0.74,0.21,0.18,BODY
3E1BDB8DB101E9B7,-1.52,-5.29,30.00,0.94,0.29,0.22,BODY
9DA3345FBC3A618E,-0.40,-5.01,30.00,0.74,0.16,0.15,BODY
5E6BE218CFC63E19,0.52,-4.96,30.00,0.73,0.16,0.13,BODY
A73D438F3B9C8410,1.56,-5.06,30.00,0.72,0.16,0.15,BODY
7898B9610B8BB5AD,-2.01,-5.11,30.00,0.13,0.37,0.27,BODY
B51A51B6B8B0037E,-0.60,-4.88,30.00,0.71,0.17,0.13,BODY
F304C052E3EFF117,0.24,-4.93,30.00,0.73,0.16,0.14,BODY
C23015F7AE0F32DF,1.22,-5.20,30.00,0.74,0.15,0.15,BODY
A652080F4E110D3B,-3.62,-5.06,30.00,0.11,0.24,0.21,BODY
1FFF2EB372826B66,-1.22,-5.25,30.00,0.73,0.15,0.15,BODY
572C4C9D8DC7ECA3,-0.23,-4.79,30.00,0.73,0.16,0.14,BODY
35368DF734BF040F,1.16,-4.82,30.00,0.74,0.16,0.15,BODY
E79C94DA0880EA33,1.76,-4.80,30.00,0.73,0.16,0.13,BODY
88D9B9D6D5BA7AB5,-1.42,-4.79,30.00,0.69,0.18,0.17,BODY
DA4DD7ADF50A9B29,-0.60,-5.01,30.00,0.73,0.17,0.16,BODY
1CAB72C5930B4817,0.92,-5.20,30.00,0.72,0.15,0.14,BODY
F8844CA3BC9D9337,1.60,-5.02,30.00,0.75,0.15,0.13,BODY
8D743677838230E2,-1.28,-4.78,30.00,0.71,0.17,0.15,BODY
B41ADAA604FF885D,-0.22,-5.01,30.00,0.73,0.16,0.13,BODY
96DCD1CED7B06A13,0.66,-5.14,30.00,0.74,0.18,0.15,BODY
EA97D9214E2EFD4E,1.39,-5.20,30.00,0.74,0.20,0.17,BODY
17650FE6CB85B81D,-1.58,-5.20,30.00,0.42,0.11,0.11,BODY
B20691F7CE19DE8D,-0.70,-5.21,30.00,0.72,0.16,0.13,BODY
CF8D0E4690CCAD1D,0.35,-5.11,30.00,0.73,0.16,0.13,BODY
ADEF56BDE5E59357,1.35,-5.15,30.00,0.73,0.16,0.14,BODY
D5413FDBC8E8BBD2,-1.84,-5.08,30.00,0.81,0.25,0.26,BODY
A27E160AE47054A0,-0.59,-4.97,30.00,0.74,0.16,0.16,BODY
EE000173A718254D,0.06,-4.91,30.00,0.72,0.17,0.13,BODY
2E34096A9CE5DC0D,1.48,-4.98,30.00,0.73,0.16,0.12,BODY
1D1983FE36E83FB3,3.76,-4.59,30.00,0.52,0.73,0.69,BODY
79D21863B9755538,-1.22,-5.05,30.00,0.73,0.16,0.14,BODY
6E62126FE1BD68E5,0.15,-4.60,30.00,0.71,0.16,0.15,BODY
6195D35858ACF7DF,0.93,-5.04,30.00,0.71,0.16,0.14,BODY
4A53255E6959152F,2.20,-4.79,30.00,0.72,0.17,0.15,BODY
6A2156DB88CF1F99,-1.34,-4.70,30.00,0.75,0.16,0.16,BODY
2BFC11AE4B9A72F8,-0.21,-4.70,30.00,0.69,0.17,0.15,BODY
8165B7D02A2D0736,0.42,-4.76,30.00,0.65,0.20,0.18,BODY
021C53FBABC1D2F0,1.84,-4.60,30.00,0.74,0.18,0.16,BODY
8ADE79129B8E635F,-2.22,-4.89,30.00,0.30,0.28,0.26,BODY
EF9EE87C427D7281,-0.86,-4.70,30.00,0.73,0.16,0.15,BODY
ECABA15775D77D4A,0.14,-4.57,30.00,0.50,0.16,0.16,BODY
1285346146378646,1.26,-4.67,30.00,0.64,0.18,0.16,BODY
81FD2921BDDF0020,2.08,-4.78,30.00,0.74,0.16,0.13,BODY
9FE219CCE26E03B9,-1.54,-5.04,30.00,0.75,0.16,0.14,BODY
61DF09FFCD3CF348,-0.42,-4.74,30.00,0.47,0.22,0.22,BODY
A52F47C165DBDB5C,0.79,-4.98,30.00,0.59,0.43,0.42,BODY
CB6A3547682405E1,1.94,-4.85,30.00,0.71,0.18,0.16,BODY
BBA595AF0BB1C885,-2.19,-4.69,30.00,0.09,0.02,0.02,BODY
42A710B3F55F1D4E,-1.16,-4.68,30.00,0.58,0.16,0.14,BODY
57E6839759B2A0F5,0.26,-4.86,30.00,0.65,0.59,0.58,BODY
413B5ED7D796351C,1.03,-4.63,30.00,0.45,0.15,0.16,BODY
47DACAB133BEC79A,2.14,-4.67,30.00,0.76,0.15,0.11,BODY
88C6F5E78466870B,-1.67,-4.55,30.00,0.71,0.16,0.12,BODY
2A235816742F6534,-0.42,-4.86,30.00,0.98,0.95,0.95,BODY
F1C0191D821CDF49,0.43,-4.91,30.00,0.77,0.75,0.74,BODY
73FF8A4B92C32860,1.57,-4.69,30.00,0.62,0.20,0.17,BODY
41FFA750F4F49C9E,-1.99,-4.60,30.00,0.62,0.17,0.13,BODY
77C87F761040A237,-1.09,-4.83,30.00,0.68,0.57,0.56,BODY
C8B4C6CEB8034F15,0.39,-4.41,30.00,1.00,0.99,0.99,BODY
ED21CE84F4AA60BF,1.51,-4.57,30.00,0.43,0.38,0.38,BODY
2CB620F8BBC8DE4B,2.09,-4.52,30.00,0.72,0.16,0.13,BODY
48BAEF0F080FE8BC,-1.04,-4.57,30.00,0.60,0.23,0.21,BODY
A6B1BA023D3886DD,-0.54,-4.59,30.00,1.00,0.99,1.00,BODY
736C1F58C522B05F,0.83,-4.70,30.00,1.00,1.00,1.00,BODY
9EB25FD99372FF08,1.58,-4.58,30.00,0.46,0.14,0.12,BODY
5E2B1E39F7149AF0,-1.82,-4.51,30.00,0.67,0.17,0.18,BODY
52640EC2E4A91D83,-0.87,-4.73,30.00,1.00,1.00,0.99,BODY
8CB9FED61D071404,0.55,-4.72,30.00,0.99,0.98,0.99,BODY
CD70C195BA33F48D,1.64,-4.85,30.00,0.85,0.85,0.83,BODY
0D4B5C16716EAD60,-2.21,-4.87,30.00,0.64,0.25,0.22,BODY
851D8067CE830146,-1.01,-4.64,30.00,0.98,0.98,0.98,BODY
8EC85A92171046A2,0.16,-4.77,30.00,1.00,1.00,1.00,BODY
478A8B1912AC5A30,0.81,-4.47,30.00,1.00,0.99,0.98,BODY
D1E82196D8548FE6,1.97,-4.41,30.00,0.39,0.09,0.09,BODY
C690CD9B108787C7,-1.23,-4.57,30.00,0.98,0.85,0.86,BODY
941B0FFDCEAC4A87,-0.22,-4.29,30.00,1.00,0.99,0.99,BODY
CA24F611067E319F,0.90,-4.70,30.00,1.00,0.99,1.00,BODY
32AE903864D9CA94,1.85,-4.26,30.00,0.99,0.98,0.98,BODY
5B673D8AD7835ED0,-1.73,-4.29,30.00,0.71,0.23,0.22,BODY
