ID,X,Y,Z,R,G,B,PART
487A8781A500CFF7,-3.09,-10.71,30.60,0.52,0.51,0.52,BODY
96902F49E9A8FA3E,-1.72,-10.98,30.00,0.56,0.54,0.51,BODY
3315182A35F2486C,-4.60,-10.85,30.20,0.78,0.70,0.81,BODY
1AAEC3E43CA735A0,-3.76,-10.85,30.40,0.67,0.65,0.64,BODY
63AA24EE9C328B85,-2.28,-10.97,30.60,0.52,0.51,0.52,BODY
B4D14CCE519A0F76,-1.24,-10.51,30.00,0.58,0.56,0.52,BODY
2BF4503A17EE71CC,2.21,-10.66,30.20,0.61,0.94,1.00,BODY
439F19FF68D86BC1,-3.68,-10.79,30.40,0.67,0.65,0.64,BODY
3B7D83DA623BA1C2,-2.43,-10.99,30.60,0.53,0.52,0.53,BODY
DD91D08036DE5FE4,-1.54,-10.90,30.00,0.58,0.55,0.55,BODY
E94C2D93391D4826,2.09,-10.48,30.20,0.27,0.36,0.67,BODY
3644A42EC4DD0781,-3.94,-10.93,30.40,0.68,0.65,0.65,BODY
E21AB5D8AB105051,-2.71,-10.88,30.60,0.52,0.53,0.52,BODY
68B6702159A3C146,-1.43,-10.39,30.00,0.58,0.57,0.58,BODY
96BF12894376EECC,1.58,-10.41,30.20,0.48,0.33,0.65,BODY
1ADDD5E2562C00A2,-4.08,-10.90,30.40,0.61,0.61,0.61,BODY
C19A1BA5E42337FC,-3.22,-10.53,30.60,0.52,0.51,0.52,BODY
FD5E8CCE075AD2F7,-2.08,-10.86,30.00,0.59,0.56,0.56,BODY
A6F914374AD71C17,-1.09,-10.41,30.20,0.65,0.51,0.55,BODY
81CC3C48A64ECF8D,2.31,-10.49,30.40,0.55,0.56,0.65,BODY
94AB099C2FAD7A52,-3.67,-10.79,30.60,0.65,0.64,0.65,BODY
93CE5720598384BB,-2.76,-10.30,30.00,0.56,0.56,0.56,BODY
14D0C174751F4D85,-1.72,-10.84,30.20,0.62,0.59,0.59,BODY
604F66ED58AAD877,1.33,-10.60,30.40,0.54,0.48,0.71,BODY
643B51F0E0F4D9A6,-4.68,-10.70,30.60,0.64,0.64,0.63,BODY
E8E5878618864B3E,-3.52,-10.71,30.00,0.52,0.51,0.52,BODY
18257613971B6747,-2.10,-10.47,30.20,0.61,0.59,0.58,BODY
5CADF27F277F3C32,-0.94,-10.25,30.40,0.62,0.60,0.59,BODY
49517E0D65D1678D,1.91,-10.21,30.60,0.55,0.51,0.51,BODY
79C6C5C01D2CB4D5,-3.81,-10.63,30.00,0.63,0.63,0.62,BODY
C7E25B053962D4CE,-3.15,-10.50,30.20,0.54,0.53,0.54,BODY
9FBF5D543E7100CA,-1.64,-10.61,30.40,0.61,0.59,0.58,BODY
9147AB5284BD63FB,-1.04,-10.46,30.60,0.65,0.59,0.58,BODY
356D43E0ED679163,1.66,-10.21,30.00,0.61,0.59,0.58,BODY
58744965D51DDD6C,-4.28,-10.65,30.20,0.61,0.62,0.61,BODY
ADCEA1AAE5BFB8B3,-3.18,-10.69,30.40,0.56,0.56,0.56,BODY
D4632F0E7B931E6A,-1.86,-10.36,30.60,0.65,0.62,0.61,BODY
54DC765219FB7544,-0.52,-10.31,30.00,0.65,0.62,0.61,BODY
BDBB8CE880E2880B,2.06,-10.19,30.20,0.58,0.57,0.55,BODY
76CE99FB7FDFAEAE,-4.21,-10.44,30.40,0.60,0.61,0.60,BODY
A08126E1DD9C8580,-3.07,-10.26,30.60,0.54,0.55,0.54,BODY
7CC200CA1B8552A4,-2.10,-10.32,30.00,0.63,0.62,0.60,BODY
F21EC51445DF5829,-1.07,-10.48,30.20,0.67,0.64,0.64,BODY
1E83485AC6CDDF4D,1.93,-10.15,30.40,0.57,0.55,0.54,BODY
357E6ACA9402BECE,-4.17,-10.54,30.60,0.64,0.64,0.64,BODY
8765D2DAE78EC4C2,-3.34,-10.58,30.00,0.53,0.53,0.53,BODY
D2ED870210AF966A,-2.06,-10.22,30.20,0.65,0.62,0.62,BODY
BF670FC3C68CC88D,-0.74,-10.31,30.40,0.68,0.65,0.65,BODY
AE6D5545154B4731,1.14,-10.51,30.60,0.52,0.43,0.55,BODY
2177856845FB2DD4,2.46,-10.48,30.00,0.82,0.77,0.80,BODY
EA5E62AAE1843FBA,-3.38,-10.47,30.20,0.52,0.51,0.52,BODY
419ABA659AF98BF3,-2.16,-10.48,30.40,0.64,0.62,0.60,BODY
D6C441E1E2E46723,-1.43,-10.03,30.60,0.68,0.67,0.65,BODY
43B845E49BBE73D8,-0.17,-10.43,30.00,0.68,0.59,0.68,BODY
0F92AADDB80BE1E6,2.19,-10.26,30.20,0.71,0.67,0.65,BODY
A41A8D85786CE0C4,-4.23,-10.08,30.40,0.58,0.57,0.58,BODY
F4F1988D5F100C45,-2.58,-10.09,30.60,0.59,0.60,0.59,BODY
C4E96E47B8051980,-1.73,-9.98,30.00,0.69,0.66,0.65,BODY
BE4F9AD2833E8BF0,-0.54,-10.31,30.20,0.69,0.66,0.65,BODY
3FBEF3825B044BB8,1.51,-10.12,30.40,0.58,0.56,0.57,BODY
A9013AE02A1879E7,2.41,-10.39,30.60,0.97,0.92,0.87,BODY
33023B599D67183A,-3.31,-10.29,30.00,0.53,0.52,0.53,BODY
508E265B2C78C55E,-2.24,-10.06,30.20,0.67,0.64,0.64,BODY
8149C4AAF3D26204,-0.95,-9.98,30.40,0.70,0.67,0.67,BODY
